date,prs_created,prs_merged
2025-09-08,1,0
2025-09-09,0,1
2025-09-11,1,0
2025-09-12,0,1
2025-09-16,2,0
2025-09-19,2,4
2025-09-22,3,1
2025-09-23,3,0
2025-09-24,3,3
2025-09-25,0,2
2025-09-26,2,4
2025-09-29,0,1
2025-09-30,4,0
2025-10-01,4,7
2025-10-02,5,4
2025-10-03,2,1
2025-10-06,10,12
2025-10-07,6,5
2025-10-08,9,10
2025-10-09,17,17
2025-10-10,11,9
2025-10-13,1,0
2025-10-14,10,10
2025-10-15,10,10
2025-10-16,4,5
2025-10-17,4,4
2025-10-20,11,10
2025-10-21,22,20
2025-10-22,5,7
2025-10-24,7,9
2025-10-27,10,12
2025-10-29,3,2
2025-10-30,1,1
2025-10-31,2,2
2025-11-03,4,4
2025-11-04,8,8
2025-11-05,1,1
2025-11-06,3,1
2025-11-07,1,0
2025-11-10,1,2
2025-11-11,2,0
2025-11-12,2,5
2025-11-13,7,6
2025-11-14,3,4
2025-11-17,1,1
2025-11-18,2,1
2025-11-19,2,3
2025-11-20,1,2
2025-11-24,1,1
2025-11-25,1,1
2025-11-26,9,7
2025-11-27,9,10
2025-11-28,2,2
2025-12-01,3,2
2025-12-02,0,1
2025-12-03,5,2
2025-12-04,3,4
2025-12-05,4,7
2025-12-08,1,1
2025-12-09,3,1
2025-12-10,2,2
2025-12-11,1,2
2025-12-12,3,0
2025-12-15,1,2
2025-12-16,2,5
2025-12-17,1,0
2025-12-18,2,2
2025-12-22,5,3
2025-12-23,8,7
2025-12-24,1,6
