repository,total_prs,total_additions,total_deletions,net_change
Skyscanner/link-service-astro-dag,84,2268,2576,-308
Skyscanner/ta-reports-import-lambda,58,2931,1149,1782
Skyscanner/skynet-tripadvisor-dag,44,1737,903,834
Skyscanner/link-service-etl-tasks,20,2021,2069,-48
Skyscanner/valid-pages-etl,11,893,65,828
Skyscanner/databricks-tf,8,27,7,20
Skyscanner/marketing-performance-metrics-dags,8,198,31,167
Skyscanner/skynet-dag,7,266,10,256
Skyscanner/veritas-transform-spark,7,435,25,410
Skyscanner/hotel-price-ads,6,3283,681,2602
Skyscanner/skynet-tripadvisor,6,5923,489,5434
Skyscanner/shivangkaul-astro-dag-codelab-dag,4,41,78,-37
Skyscanner/marketing-s3-to-bronze-app,3,2359,5,2354
Skyscanner/hotel-sem-feeds-dag,2,2,0,2
Skyscanner/marketing-data-import-dags,2,52,8,44
Skyscanner/zephyr,2,35,10,25
Skyscanner/databricks-config,1,7,0,7
Skyscanner/hotel-sem-feeds,1,8,0,8
Skyscanner/in-house-internal-links-ingestion-batch,1,27,11,16
Skyscanner/link-service,1,190,3,187
Skyscanner/link-service-prerelease-processor,1,11,9,2
Skyscanner/marketing-performance-metrics,1,140,0,140
Skyscanner/shivangkaul-skyspark-codelab,1,211,9,202
Skyscanner/ta-reports-load-lambda,1,391,246,145
