repository,pr_number,lines_changed,additions,deletions
"Skyscanner/skynet-tripadvisor",2,2924,2902,22
"Skyscanner/marketing-s3-to-bronze-app",32,2287,2285,2
"Skyscanner/skynet-tripadvisor",3,2282,2249,33
"Skyscanner/hotel-price-ads",2,2161,1853,308
"Skyscanner/ta-reports-import-lambda",1,1527,1525,2
"Skyscanner/hotel-price-ads",9,842,525,317
"Skyscanner/link-service-astro-dag",377,720,0,720
"Skyscanner/link-service-astro-dag",374,716,0,716
"Skyscanner/ta-reports-load-lambda",1,637,391,246
"Skyscanner/skynet-tripadvisor",4,592,581,11
"Skyscanner/link-service-etl-tasks",1209,589,235,354
"Skyscanner/hotel-price-ads",6,531,479,52
"Skyscanner/link-service-astro-dag",248,505,500,5
"Skyscanner/link-service-astro-dag",253,493,491,2
"Skyscanner/link-service-etl-tasks",1212,428,156,272
"Skyscanner/hotel-price-ads",5,422,422,0
"Skyscanner/link-service-astro-dag",241,420,59,361
"Skyscanner/ta-reports-import-lambda",7,415,199,216
"Skyscanner/skynet-tripadvisor-dag",29,400,261,139
"Skyscanner/link-service-etl-tasks",1176,369,115,254
